X,Y,Cluster
121.561996,81.001999,1
127.569,113.457001,1
95.467003,116.822998,1
652.234009,60.743,2
324.015991,91.058998,3
639.747986,109.970001,2
360.282013,38.381001,3
306.850006,71.127998,3
484.187012,87.379997,4
393.657013,84.093002,3
506.434998,122.746002,4
112.581001,19.120001,-1
228.705002,74.679001,5
649.466003,77.259003,2
775.633972,78.057999,6
241.565002,83.218002,5
682.984985,77.012001,-1
577.830994,106.556999,2
253.660995,77.766998,5
64.115997,94.832001,1
55.554001,77.417,1
548.424011,67.278999,-1
310.682007,80.522003,3
290.442993,155.729996,-1
598.054016,106.678001,2
87.004997,36.759998,1
639.640991,46.352001,2
119.848,119.064003,1
60.721001,116.612999,1
691.05603,77.653,-1
635.617004,104.271004,2
510.291992,66.658997,4
619.107971,126.945999,2
611.562988,121.912003,2
312.51001,81.755997,3
640.291016,99.178001,2
373.234985,45.612999,3
375.992004,91.449997,3
232.694,109.503998,5
605.695007,33.347,2
624.91803,76.685997,2
463.015991,70.754997,4
292.125,55.312,-1
521.155029,65.891998,4
627.442993,148.744003,-1
319.139008,114.913002,3
374.606995,90.989998,3
473.226013,86.073997,4
460.148987,87.914001,4
589.187012,41.852001,2
66.552002,102.445,1
428.223999,81.871002,-1
643.057007,88.280998,2
319.290985,114.130997,3
552.572021,91.389,-1
372.127014,101.216003,3
219.613007,124.125999,5
305.470001,75.464996,3
190.897995,63.881001,5
669.844971,77.023003,2
612.718018,127.416,2
650.607971,85.202003,2
562.491028,77.732002,-1
99.407997,123.476997,1
373.578003,47.561001,3
119.271004,41.755001,1
320.598999,102.574997,3
473.028015,97.907997,4
386.785004,61.125999,3
43.040001,145.251007,-1
392.695007,89.742996,3
315.665985,79.015999,3
72.172997,36.658001,1
232.733002,85.996002,5
589.484985,28.806999,-1
510.835999,114.318001,4
458.40799,95.913002,4
544.504028,32.652,-1
358.075012,35.200001,3
641.109009,97.644997,2
271.841003,76.975998,-1
686.612,37.124001,-1
451.606995,119.617996,4
597.505981,111.469002,2
506.488007,45.852001,4
191.632996,73.132004,5
220.776993,113.158997,5
594.893982,104.123001,2
507.376007,103.654999,4
342.789001,34.183998,3
223.962997,84.974998,5
74.682999,77.225998,1
50.952999,91.820999,1
641.02301,116.862999,2
687.879028,76.602997,-1
447.983002,61.563999,4
195.001007,49.942001,5
637.169983,56.174999,2
107.400002,94.708,1
124.691002,88.194,1
286.438995,147.785995,-1
79.572998,124.060997,1
516.916016,75.572998,4
93.746002,90.277,1
182.621002,154.496002,-1
187.882004,94.653999,5
166.625,141.270004,-1
651.09198,111.934998,2
372.493011,54.273998,3
372.528015,122.831001,3
520.409973,60.632,4
477.234985,35.341999,4
367.325012,148.106995,-1
611.195984,40.414001,2
206.240005,76.779999,5
599.150024,114.672997,2
450.311005,123.221001,4
102.848,76.717003,1
620.140991,42.645,2
260.604004,75.376999,-1
197.102005,38.658001,5
241.089996,83.378998,5
458.634003,51.484001,4
634.554993,121.371002,2
332.700012,116.450996,3
486.208008,39.754002,4
235.893005,82.325996,5
110.369003,35.653,1
305.644012,82.112,3
317.049011,71.785004,3
188.914001,90.891998,5
341.95401,113.425003,3
48.502998,96.016998,1
604.322021,109.995003,2
636.380981,38.622002,2
527.085999,135.666,-1
69.582001,43.792,1
335.645996,33.296001,3
248.576004,76.853996,5
141.582993,68.907997,-1
498.319,38.799999,4
457.346985,98.192001,4
658.244019,109.745003,2
459.993011,33.548,4
460.234009,33.227001,4
245.024002,49.400002,5
346.335999,44.568001,3
376.609009,90.900002,3
94.543999,121.655998,1
644.026001,71.632004,2
430.699005,127.126999,-1
741.916016,78.759003,6
513.549988,95.879997,4
225.423996,36.782001,5
55.263,111.043999,1
493.289001,36.257,4
68.233002,119.808998,1
146.214005,63.529999,-1
233.895996,123.693001,5
478.216003,88.043999,4
120.879997,91.778999,1
339.597992,33.405998,3
488.567993,107.682999,-1
459.346008,61.339001,4
593.408997,65.935997,2
77.405998,123.671997,1
195.647995,96.322998,5
82.730003,124.036003,1
282.707001,77.032997,-1
381.621002,53.877998,3
354.424988,31.01,3
456.967987,53.887001,4
384.653015,48.089001,3
588.317017,58.639,2
112.978996,81.394997,1
200.477997,120.681,5
29.712,141.990005,-1
642.692993,43.034,2
486.373993,80.212997,4
515.658997,69.102997,4
636.481995,51.926998,2
587.796021,85.054001,2
510.266998,104.704002,4
423.18399,24.643,-1
461.837006,119.569,4
72.792,76.675003,1
530.013,13.297,-1
320.278992,140.518005,-1
508.720001,57.502998,4
249.076996,40.504002,5
72.396004,112.041,1
74.106003,45.66,1
516.254028,45.93,4
623.921997,84.581001,2
440.533997,113.839996,4
456.123993,44.028,4
375.730011,66.107002,3
317.127991,75.265999,3
745.804993,79.991997,6
604.692993,122.417,2
59.950001,60.261002,1
56.124001,45.519001,1
623.828979,44.862,2
254.873993,43.712002,5
354.355011,115.925003,3
629.955017,82.207001,2
121.353996,44.779999,1
380.589996,56.901001,3
584.755981,75.643997,2
