X,Y,Cluster
121.561996,81.001999,0
127.569,113.457001,0
95.467003,116.822998,0
652.234009,60.743,2
324.015991,91.058998,5
639.747986,109.970001,2
360.282013,38.381001,5
306.850006,71.127998,5
484.187012,87.379997,3
393.657013,84.093002,5
506.434998,122.746002,3
112.581001,19.120001,0
228.705002,74.679001,4
649.466003,77.259003,2
775.633972,78.057999,1
241.565002,83.218002,4
682.984985,77.012001,1
577.830994,106.556999,2
253.660995,77.766998,4
64.115997,94.832001,0
55.554001,77.417,0
548.424011,67.278999,3
310.682007,80.522003,5
290.442993,155.729996,5
598.054016,106.678001,2
87.004997,36.759998,0
639.640991,46.352001,2
119.848,119.064003,0
60.721001,116.612999,0
691.05603,77.653,1
635.617004,104.271004,2
510.291992,66.658997,3
619.107971,126.945999,2
611.562988,121.912003,2
312.51001,81.755997,5
640.291016,99.178001,2
373.234985,45.612999,5
375.992004,91.449997,5
232.694,109.503998,4
605.695007,33.347,2
624.91803,76.685997,2
463.015991,70.754997,3
292.125,55.312,5
521.155029,65.891998,3
627.442993,148.744003,2
319.139008,114.913002,5
374.606995,90.989998,5
473.226013,86.073997,3
460.148987,87.914001,3
589.187012,41.852001,2
66.552002,102.445,0
428.223999,81.871002,3
643.057007,88.280998,2
319.290985,114.130997,5
552.572021,91.389,2
372.127014,101.216003,5
219.613007,124.125999,4
305.470001,75.464996,5
190.897995,63.881001,4
669.844971,77.023003,2
612.718018,127.416,2
650.607971,85.202003,2
562.491028,77.732002,2
99.407997,123.476997,0
373.578003,47.561001,5
119.271004,41.755001,0
320.598999,102.574997,5
473.028015,97.907997,3
386.785004,61.125999,5
43.040001,145.251007,0
392.695007,89.742996,5
315.665985,79.015999,5
72.172997,36.658001,0
232.733002,85.996002,4
589.484985,28.806999,2
510.835999,114.318001,3
458.40799,95.913002,3
544.504028,32.652,3
358.075012,35.200001,5
641.109009,97.644997,2
271.841003,76.975998,4
686.612,37.124001,1
451.606995,119.617996,3
597.505981,111.469002,2
506.488007,45.852001,3
191.632996,73.132004,4
220.776993,113.158997,4
594.893982,104.123001,2
507.376007,103.654999,3
342.789001,34.183998,5
223.962997,84.974998,4
74.682999,77.225998,0
50.952999,91.820999,0
641.02301,116.862999,2
687.879028,76.602997,1
447.983002,61.563999,3
195.001007,49.942001,4
637.169983,56.174999,2
107.400002,94.708,0
124.691002,88.194,0
286.438995,147.785995,5
79.572998,124.060997,0
516.916016,75.572998,3
93.746002,90.277,0
182.621002,154.496002,4
187.882004,94.653999,4
166.625,141.270004,4
651.09198,111.934998,2
372.493011,54.273998,5
372.528015,122.831001,5
520.409973,60.632,3
477.234985,35.341999,3
367.325012,148.106995,5
611.195984,40.414001,2
206.240005,76.779999,4
599.150024,114.672997,2
450.311005,123.221001,3
102.848,76.717003,0
620.140991,42.645,2
260.604004,75.376999,4
197.102005,38.658001,4
241.089996,83.378998,4
458.634003,51.484001,3
