Accession,ID,Protein Name,Gene Names,Organism,Taxonomy ID,Length
A0A1D7QRB7,A0A1D7QRB7_9BACI,CTP synthase,pyrG,Salisediminibacterium beveridgei,632773,539
A0A1D7QTF2,A0A1D7QTF2_9BACI,ATP-dependent 6-phosphofructokinase,pfkA-1,Salisediminibacterium beveridgei,632773,320
A0A1D7QTI2,A0A1D7QTI2_9BACI,dITP/XTP pyrophosphatase,,Salisediminibacterium beveridgei,632773,207
A0A1D7QUR4,A0A1D7QUR4_9BACI,Riboflavin biosynthesis protein RibBA,ribBA,Salisediminibacterium beveridgei,632773,399
A0A1D7QVA4,A0A1D7QVA4_9BACI,ATP-dependent 6-phosphofructokinase,pfkA-2,Salisediminibacterium beveridgei,632773,319
A0A1D7QVB0,A0A1D7QVB0_9BACI,Ribose-phosphate pyrophosphokinase,prs-1,Salisediminibacterium beveridgei,632773,317
A0A1D7QVB5,A0A1D7QVB5_9BACI,Probable dual-specificity RNA methyltransferase RlmN,rlmN,Salisediminibacterium beveridgei,632773,362
A0A1D7QVC7,A0A1D7QVC7_9BACI,ATP-dependent helicase/nuclease subunit A,addA,Salisediminibacterium beveridgei,632773,1236
A0A1D7QVE0,A0A1D7QVE0_9BACI,Carbamoyl phosphate synthase small chain,carA,Salisediminibacterium beveridgei,632773,364
A0A1D7QVE2,A0A1D7QVE2_9BACI,Carbamoyl phosphate synthase large chain,carB-2,Salisediminibacterium beveridgei,632773,1080
A0A1D7QVV2,A0A1D7QVV2_9BACI,Aspartate-semialdehyde dehydrogenase,asd,Salisediminibacterium beveridgei,632773,351
A0A1D7QW47,A0A1D7QW47_9BACI,non-specific serine/threonine protein kinase,prkC,Salisediminibacterium beveridgei,632773,673
A0A1D7QW55,A0A1D7QW55_9BACI,Coenzyme A biosynthesis bifunctional protein CoaBC,coaBC,Salisediminibacterium beveridgei,632773,403
A0A1D7QW64,A0A1D7QW64_9BACI,Carbamoyl phosphate synthase large chain,pyrAB,Salisediminibacterium beveridgei,632773,1070
A0A1D7QWC3,A0A1D7QWC3_9BACI,"UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase",murE,Salisediminibacterium beveridgei,632773,497
A0A1D7QYQ1,A0A1D7QYQ1_9BACI,Serine-protein kinase RsbW,rsbW,Salisediminibacterium beveridgei,632773,166
A0A1D7QYQ9,A0A1D7QYQ9_9BACI,Bifunctional NAD(P)H-hydrate repair enzyme,nnrE,Salisediminibacterium beveridgei,632773,520
A0A1D7QZB0,A0A1D7QZB0_9BACI,Catalase-peroxidase,katG,Salisediminibacterium beveridgei,632773,730
A0A1D7R035,A0A1D7R035_9BACI,ATP-dependent zinc metalloprotease FtsH,ftsH,Salisediminibacterium beveridgei,632773,681
A0A1D7R038,A0A1D7R038_9BACI,Bifunctional protein GlmU,glmU,Salisediminibacterium beveridgei,632773,453
A0A1D7R047,A0A1D7R047_9BACI,Ribose-phosphate pyrophosphokinase,prs-2,Salisediminibacterium beveridgei,632773,316
A0A1D7QQW6,A0A1D7QQW6_9BACI,tRNA modification GTPase MnmE,mnmE,Salisediminibacterium beveridgei,632773,458
A0A1D7QQX0,A0A1D7QQX0_9BACI,Membrane protein insertase YidC,oxaA-1,Salisediminibacterium beveridgei,632773,272
A0A1D7QQY1,A0A1D7QQY1_9BACI,Chromosomal replication initiator protein DnaA,dnaA,Salisediminibacterium beveridgei,632773,451
A0A1D7QQY6,A0A1D7QQY6_9BACI,Adenylosuccinate synthetase,purA,Salisediminibacterium beveridgei,632773,429
A0A1D7QR07,A0A1D7QR07_9BACI,Replicative DNA helicase,dnaC,Salisediminibacterium beveridgei,632773,453
A0A1D7QR20,A0A1D7QR20_9BACI,FMN dependent NADH:quinone oxidoreductase,azoR-1,Salisediminibacterium beveridgei,632773,206
A0A1D7QR34,A0A1D7QR34_9BACI,Glutamine--tRNA ligase,glnS,Salisediminibacterium beveridgei,632773,552
A0A1D7QR40,A0A1D7QR40_9BACI,Threonine synthase,thrC-1,Salisediminibacterium beveridgei,632773,353
A0A1D7QR46,A0A1D7QR46_9BACI,Aspartokinase,,Salisediminibacterium beveridgei,632773,451
A0A1D7QR71,A0A1D7QR71_9BACI,Coproheme decarboxylase,chdC,Salisediminibacterium beveridgei,632773,247
A0A1D7QR82,A0A1D7QR82_9BACI,Polyamine aminopropyltransferase,speE-1,Salisediminibacterium beveridgei,632773,276
A0A1D7QR83,A0A1D7QR83_9BACI,Homoserine O-acetyltransferase,metA,Salisediminibacterium beveridgei,632773,303
A0A1D7QRA7,A0A1D7QRA7_9BACI,Polyamine aminopropyltransferase,speE-2,Salisediminibacterium beveridgei,632773,289
A0A1D7QRC5,A0A1D7QRC5_9BACI,UDP-N-acetylglucosamine 1-carboxyvinyltransferase,murA-1,Salisediminibacterium beveridgei,632773,425
