Accession,ID,Protein Name,Gene Names,Organism,Taxonomy ID,Length
A0A4R2H525,A0A4R2H525_9SPHI,CTP synthase,pyrG,Pedobacter psychrotolerans,1843235,538
A0A4R2H7S7,A0A4R2H7S7_9SPHI,Catalase-peroxidase,katG,Pedobacter psychrotolerans,1843235,758
A0A4R2H8A5,A0A4R2H8A5_9SPHI,Kynureninase,kynU,Pedobacter psychrotolerans,1843235,428
A0A4R2HA16,A0A4R2HA16_9SPHI,Probable dual-specificity RNA methyltransferase RlmN,rlmN,Pedobacter psychrotolerans,1843235,350
A0A4R2HA28,A0A4R2HA28_9SPHI,Bifunctional NAD(P)H-hydrate repair enzyme,nnrE,Pedobacter psychrotolerans,1843235,496
A0A4R2HFU9,A0A4R2HFU9_9SPHI,ATP-dependent 6-phosphofructokinase,pfkA,Pedobacter psychrotolerans,1843235,327
A0A4R2HHW4,A0A4R2HHW4_9SPHI,Aspartate-semialdehyde dehydrogenase,asd,Pedobacter psychrotolerans,1843235,329
A0A4R2HIE2,A0A4R2HIE2_9SPHI,dITP/XTP pyrophosphatase,,Pedobacter psychrotolerans,1843235,190
A0A4R2HIL9,A0A4R2HIL9_9SPHI,Coenzyme A biosynthesis bifunctional protein CoaBC,coaBC,Pedobacter psychrotolerans,1843235,398
A0A4R2HKM2,A0A4R2HKM2_9SPHI,Riboflavin biosynthesis protein RibBA,ribBA,Pedobacter psychrotolerans,1843235,403
A0A4R2HLD6,A0A4R2HLD6_9SPHI,"UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase",murE,Pedobacter psychrotolerans,1843235,485
A0A4R2HLG0,A0A4R2HLG0_9SPHI,ATP-dependent 6-phosphofructokinase,pfkA,Pedobacter psychrotolerans,1843235,328
A0A4R2H174,A0A4R2H174_9SPHI,Glycerol-3-phosphate acyltransferase,plsY,Pedobacter psychrotolerans,1843235,215
A0A4R2H1J6,A0A4R2H1J6_9SPHI,Aspartate carbamoyltransferase,pyrB,Pedobacter psychrotolerans,1843235,309
A0A4R2H1K2,A0A4R2H1K2_9SPHI,Lon protease,lon,Pedobacter psychrotolerans,1843235,823
A0A4R2H1M1,A0A4R2H1M1_9SPHI,Adenylosuccinate synthetase,purA,Pedobacter psychrotolerans,1843235,426
A0A4R2H1U3,A0A4R2H1U3_9SPHI,Fumarate hydratase class II,fumC,Pedobacter psychrotolerans,1843235,477
A0A4R2H282,A0A4R2H282_9SPHI,Methionine aminopeptidase,map,Pedobacter psychrotolerans,1843235,274
A0A4R2H288,A0A4R2H288_9SPHI,Acetate kinase,ackA,Pedobacter psychrotolerans,1843235,399
A0A4R2H2I6,A0A4R2H2I6_9SPHI,Fused isobutyryl-CoA mutase,icmF,Pedobacter psychrotolerans,1843235,1130
A0A4R2H2J7,A0A4R2H2J7_9SPHI,Methionine aminopeptidase,map,Pedobacter psychrotolerans,1843235,254
A0A4R2H2R6,A0A4R2H2R6_9SPHI,DNA 3'-5' helicase,,Pedobacter psychrotolerans,1843235,1072
A0A4R2H2R9,A0A4R2H2R9_9SPHI,D-3-phosphoglycerate dehydrogenase,,Pedobacter psychrotolerans,1843235,433
A0A4R2H2S5,A0A4R2H2S5_9SPHI,Octanoyltransferase,lipB,Pedobacter psychrotolerans,1843235,242
A0A4R2H3C2,A0A4R2H3C2_9SPHI,Biotin synthase,bioB,Pedobacter psychrotolerans,1843235,324
A0A4R2H3V2,A0A4R2H3V2_9SPHI,D-alanine--D-alanine ligase,ddl,Pedobacter psychrotolerans,1843235,328
A0A4R2H3X0,A0A4R2H3X0_9SPHI,Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit C,gatC,Pedobacter psychrotolerans,1843235,96
A0A4R2H497,A0A4R2H497_9SPHI,branched-chain-amino-acid transaminase,,Pedobacter psychrotolerans,1843235,354
A0A4R2H4L8,A0A4R2H4L8_9SPHI,Glycine--tRNA ligase,glyQS,Pedobacter psychrotolerans,1843235,547
A0A4R2H4T5,A0A4R2H4T5_9SPHI,Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta,accD,Pedobacter psychrotolerans,1843235,281
A0A4R2H4T9,A0A4R2H4T9_9SPHI,Thymidylate synthase,thyA,Pedobacter psychrotolerans,1843235,264
A0A4R2H4X3,A0A4R2H4X3_9SPHI,Queuine tRNA-ribosyltransferase,tgt,Pedobacter psychrotolerans,1843235,376
A0A4R2H570,A0A4R2H570_9SPHI,dTTP/UTP pyrophosphatase,,Pedobacter psychrotolerans,1843235,190
